,Product_code,Product_name,Rating,number_of_reveiws,Price,Images,Link,Reveiw Link,Avg_rev_rating,rev_rat_dist,rev_tone_dist
44,B01GVVMIPG,HP EliteBook 8460P 14-inch Notebook PC - Intel Core i5-2520M 2.5GHz 8GB 250GB Windows 10 Professional (Renewed)  ,3.6,520,"₹23,690",https://m.media-amazon.com/images/I/61KEWGiDAOL._AC_UY218_.jpg,https://www.amazon.in/HP-EliteBook-8460P-14-inch-Notebook/dp/B01GVVMIPG/ref=sr_1_62?keywords=laptop&qid=1636205420&sr=8-62,,,,
45,B08X4P6V2M,"Dell Vostro 3401 35.56 cm (14"") FHD Display Laptop (11th Gen i3-1115G4 / 8GB / 1TB HDD / Integrated Graphics / Win 10 + MSO / Accent Black) D552175WIN9BE  ",3.7,196,"₹40,620",https://m.media-amazon.com/images/I/8147cwFm2PL._AC_UY218_.jpg,https://www.amazon.in/Dell-i3-1115G4-Integrated-Graphics-D552175WIN9BE/dp/B08X4P6V2M/ref=sr_1_63?keywords=laptop&qid=1636205420&sr=8-63,https://www.amazon.in/Dell-i3-1115G4-Integrated-Graphics-D552175WIN9BE/product-reviews/B08X4P6V2M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.76,14 8 6 5 22,2 31 22
46,B09DL27QLK,"ASUS Vivobook 14 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X409FA-BV301T Thin and Light Laptop (14.1 inch, Slate Grey, 1.6 kg)  ",3.3,3,"₹33,900",https://m.media-amazon.com/images/I/71+cBm-j0TL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Vivobook-Core-10th-X409FA-BV301T/dp/B09DL27QLK/ref=sr_1_66?keywords=laptop&qid=1636205420&sr=8-66,https://www.amazon.in/ASUS-Vivobook-Core-10th-X409FA-BV301T/product-reviews/B09DL27QLK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,
47,B098XLXDRS,Mi Notebook Ultra 3K Resolution Display Intel Core i5-11300H 11th Gen 15.6-inch(39.62 cms) Thin and Light Laptop (8GB/512GB SSD/Iris Xe Graphics/Win 10/MS Office/Backlit KB/Fingerprint Sensor/1.7Kg)  ,4.1,245,"₹59,999",https://m.media-amazon.com/images/I/81RHHnGydgL._AC_UY218_.jpg,https://www.amazon.in/Notebook-Resolution-i5-11300H-15-6-inch-Fingerprint/dp/B098XLXDRS/ref=sr_1_68?keywords=laptop&qid=1636205420&sr=8-68,https://www.amazon.in/Notebook-Resolution-i5-11300H-15-6-inch-Fingerprint/product-reviews/B098XLXDRS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.97,75 33 14 3 20,13 111 21
48,B09DGDW4Y1,"HP Pavilion 15 Ryzen 5 15.6-inch (39.6 cms) Thin & Light FHD Laptop (16GB/512GB SSD/B&O Audio/Windows 10/MS Office/Fingerprint Reader/Natural Silver/1.75 kg), 15-eh1103AU  ",4.3,1206,"₹65,990",https://m.media-amazon.com/images/I/71EhyC2huLL._AC_UY218_.jpg,https://www.amazon.in/HP-Pavilion-15-6-inch-Fingerprint-15-eh1103AU/dp/B09DGDW4Y1/ref=sr_1_67?keywords=laptop&qid=1636205423&sr=8-67,https://www.amazon.in/HP-Pavilion-15-6-inch-Fingerprint-15-eh1103AU/product-reviews/B09DGDW4Y1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.82,160 82 14 11 61,38 253 37
49,B09F3Q4CWN,"Dell 15 (2021) Ryzen 3-3250U Laptop, 8GB, 1TB HDD, Win 10 + MS Office, Radeon Graphics, 15.6"" (39.61 cms) FHD Display, Soft Mint Color (Inspiron 3505, D560617WIN9SE)  ",2.3,5,"₹39,990",https://m.media-amazon.com/images/I/51TACuT6SNL._AC_UY218_.jpg,https://www.amazon.in/Dell-Graphics-Inspiron-3505-D560617WIN9SE/dp/B09F3Q4CWN/ref=sr_1_69?keywords=laptop&qid=1636205423&sr=8-69,https://www.amazon.in/Dell-Graphics-Inspiron-3505-D560617WIN9SE/product-reviews/B09F3Q4CWN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,
50,B09GKWR7RT,"ASUS VivoBook 14 Core i5 10th Gen,14-inch FHD,Thin and Light Laptop(8GB/512GB SSD/MSO/Win 10/Integrated Graphics/Silver/1.6 Kg) + Wireless Mouse + Microsoft 365 Personal 12-Month Subscription  ",3.9,102,"₹49,590",https://m.media-amazon.com/images/I/71oeQO9yWzL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-Integrated-Microsoft-Subscription/dp/B09GKWR7RT/ref=sr_1_71?keywords=laptop&qid=1636205423&sr=8-71,https://www.amazon.in/ASUS-VivoBook-Integrated-Microsoft-Subscription/product-reviews/B09GKWR7RT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.71,12 15 9 5,5 29 7
51,B097T1WN1Y,"Dell Vostro 3400 14"" FHD Display Laptop (i5-1135G7 / 8GB / 1TB HDD + 256GB SSD / Integrated Graphics / Win10 + MSO / Black) D552186WIN9BE  ",3.6,109,"₹53,990",https://m.media-amazon.com/images/I/51IsQHLroNL._AC_UY218_.jpg,https://www.amazon.in/Dell-Vostro-3400-Integrated-D552186WIN9BE/dp/B097T1WN1Y/ref=sr_1_74?keywords=laptop&qid=1636205423&sr=8-74,https://www.amazon.in/Dell-Vostro-3400-Integrated-D552186WIN9BE/product-reviews/B097T1WN1Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.27,17 8 7 3 13,10 29 9
52,B098P1K6W9,"Fujitsu UH-X 11th Gen Intel Core i5 13.3” (33.78cm) FHD IPS 400Nits Thin and Light Laptop (8GB/512GB SSD/Win10/Office/Iris Xe Graphics/Backlit Kb/ Fingerprint Reader/Black/878gms), 4ZR1D67595  ",3.7,15,"₹69,990",https://m.media-amazon.com/images/I/91MVVK14sEL._AC_UY218_.jpg,https://www.amazon.in/Fujitsu-33-78cm-Graphics-Fingerprint-4ZR1D67595/dp/B098P1K6W9/ref=sr_1_77?keywords=laptop&qid=1636205423&sr=8-77,https://www.amazon.in/Fujitsu-33-78cm-Graphics-Fingerprint-4ZR1D67595/product-reviews/B098P1K6W9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.77,6 2 2 2 1,3 7 3
53,B098QBT5KT,"Victus by HP Ryzen 5 5600H 16.1-inch(40.9 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/Flicker Free Display/Windows 10/MS Office/Mica Silver/2.48 Kg), 16-e0162AX, Black  ",4.4,20,"₹70,893",https://m.media-amazon.com/images/I/71h7F81EBoS._AC_UY218_.jpg,https://www.amazon.in/HP-16-1-inch-RX5500M-Graphics-16-e0162AX/dp/B098QBT5KT/ref=sr_1_79?keywords=laptop&qid=1636205423&sr=8-79,https://www.amazon.in/HP-16-1-inch-RX5500M-Graphics-16-e0162AX/product-reviews/B098QBT5KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.25,7 3 1 1,11 1
