,Product_code,Product_name,Rating,number of reveiws,Price,Images,Link,Reveiw Link
104,B09F3QDFQQ,"Dell 15 (2021) i5-10500H Gaming Laptop, 16GB, 512GB SSD, Win 10 + MS Office, NVIDIA GTX 1650 4GB Graphics, 15.6"" (39.61 cms) FHD Display, Backlit KB Orange, Dark Shadow Grey (G15 5510, D560606WIN9B)  ",4.3 out of 5 stars,8,"₹33,142",https://m.media-amazon.com/images/I/61LVwo050hS._AC_UY218_.jpg,https://www.amazon.in/Dell-i5-10500H-G15-5510-D560606WIN9B/dp/B09F3QDFQQ/ref=sr_1_178?keywords=laptop&qid=1636205446&sr=8-178,https://www.amazon.in/Dell-i5-10500H-G15-5510-D560606WIN9B/product-reviews/B09F3QDFQQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
105,B097SZMNQH,"Dell Inspiron 3501 39.62 cm (15.6"") FHD Display Laptop (i3-1115G4 / 4GB / 256GB SSD / Integrated Graphics / Win10 + MSO / Accent Black) D560492WIN9BE  ",3.8 out of 5 stars,63,"₹41,990",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,"service,battery,return,students,problem","5,5,4,4,3"
106,B07N95H32F,"(Renewed) Dell Latitude Intel 4th Gen Core i5 14-Inch (35.56 cms) 1366x768 Laptop (4 GB/240 GB/Windows 10/Integrated Graphics/Gray/2 kg), E5440-i5-4 GB-240 GB  ",5.0 out of 5 stars,2,"₹29,689",https://m.media-amazon.com/images/I/51NW0q-szmL._AC_UY218_.jpg,https://www.amazon.in/Latitude-E5440-i5-4-GB-240-GB-Integrated/dp/B07N95H32F/ref=sr_1_180?keywords=laptop&qid=1636205446&sr=8-180,https://www.amazon.in/Latitude-E5440-i5-4-GB-240-GB-Integrated/product-reviews/B07N95H32F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
107,B09HXL97FM,(Renewed) Lenovo ThinkPad 14 inch (35.56 cm) HD Laptop (i3 2nd Gen/4 GB RAM/320 GB HDD/Wifi/Bluetooth/Windows 10 Pro/MS Office/Webcam/Integrated Graphics)  ,4.0 out of 5 stars,1,"₹22,999",https://m.media-amazon.com/images/I/71KyidXwPkL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-ThinkPad-Bluetooth-Integrated-Graphics/dp/B09HXL97FM/ref=sr_1_179?keywords=laptop&qid=1636205449&sr=8-179,
108,B097SYQL3M,"Dell 14 (2021) i3-1125G4 2in1 Touch Screen Laptop, 8Gb RAM, 256Gb SSD, 14” (35.56 cms) FHD Display, Win 10 + MSO, Backlit KB + FPR, Silver Color (Inspiron 5410, D560563WIN9S)  ",3.7 out of 5 stars,159,"₹56,000",https://m.media-amazon.com/images/I/71hFNVZKcoS._AC_UY218_.jpg,"pen,touch,battery,quality,backup","32,8,6,6,6"
109,B09CCQ453Z,"ASUS TUF Gaming F17 (2021) 17.3-inch (43.94 cms) FHD 144Hz, Intel Core i5-11400H 11th Gen, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/Windows 10/Gray/2.6 Kg), FX766HE-HX054T  ",3.0 out of 5 stars,2,"₹95,990",https://m.media-amazon.com/images/I/81URizOYflL._AC_UY218_.jpg,https://www.amazon.in/ASUS-17-3-inch-i5-11400H-RTX-3050-Ti-FX766HE-HX054T/dp/B09CCQ453Z/ref=sr_1_181?keywords=laptop&qid=1636205449&sr=8-181,https://www.amazon.in/ASUS-17-3-inch-i5-11400H-RTX-3050-Ti-FX766HE-HX054T/product-reviews/B09CCQ453Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
110,B09F3Q53LZ,"Dell 14 (2021) i3-1125G4 2in1 Touch Screen Laptop, 8GB, 256GB SSD, Win 10 + MS Office, 14.0"" (35.56 cms) FHD Display, Dell Active Pen, Backlit KB + FPR, Platinum Silver (Inspiron 5410, D560471WIN9S)  ",2.9 out of 5 stars,4,"₹52,620",https://m.media-amazon.com/images/I/618nCW+Qk+S._AC_UY218_.jpg,https://www.amazon.in/Dell-i3-1125G4-Platinum-5410-D560471WIN9S/dp/B09F3Q53LZ/ref=sr_1_182?keywords=laptop&qid=1636205449&sr=8-182,https://www.amazon.in/Dell-i3-1125G4-Platinum-5410-D560471WIN9S/product-reviews/B09F3Q53LZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
111,B09GW2F4XV,"Lenovo ThinkBook 15 Intel 11th Gen Core i7 15.6"" (39.62 cm) FHD IPS 300 nits Antiglare 100% sRGB Thin and Light Laptop (16GB/512GB SSD/Windows 10/MS Office/3 Yr Onsite Warranty/1.7 Kg), 20VEA0HHIH  ",3.8 out of 5 stars,14,"₹88,990",https://m.media-amazon.com/images/I/613KupQMpLL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Warranty-20VEA0HHIH/dp/B09GW2F4XV/ref=sr_1_184?keywords=laptop&qid=1636205449&sr=8-184,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Warranty-20VEA0HHIH/product-reviews/B09GW2F4XV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
112,B09JC1M1KY,"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i3 15.6"" (39.62cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 11/MS Office 2021/2 Year Warranty/Arctic Grey/1.65Kg), 82H80238IN  ",5.0 out of 5 stars,1,"₹43,490",https://m.media-amazon.com/images/I/61q6x-ll5FL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82H80238IN/dp/B09JC1M1KY/ref=sr_1_186?keywords=laptop&qid=1636205449&sr=8-186,
113,B09FHSQTK4,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i5 15.6""(39.62cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/2GB Nvidia MX330 Graphics/2Yr Warranty/Windows 10/Office/300Nits/Platinum Grey/1.7Kg), 81WB013BIN  ",4.0 out of 5 stars,1,"₹53,990",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Graphics-Warranty-Platinum-81WB013BIN/dp/B09FHSQTK4/ref=sr_1_190?keywords=laptop&qid=1636205449&sr=8-190,
