,Product_code,Product_name,Rating,number_of_reveiws,Price,Images,Link,Reveiw Link,Brand
10,B098XL1SY5,Mi Notebook Ultra 3K Resolution Display Intel Core i7-11370H 11th Gen 15.6-inch(39.62 cms) Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Win 10/MS Office/Backlit KB/Fingerprint Sensor/1.7Kg)  ,4.3,95,76999,https://m.media-amazon.com/images/I/81RHHnGydgL._AC_UY218_.jpg,https://www.amazon.in/Notebook-Resolution-i7-11370H-15-6-inch-Fingerprint/dp/B098XL1SY5/ref=sr_1_15?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-15&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Notebook-Resolution-i7-11370H-15-6-inch-Fingerprint/product-reviews/B098XL1SY5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,MI
11,B0991MJLN2,"HP 14 Ryzen 5 3500U 14-inch(35.6 cm) FHD Thin & Light Laptop(8GB RAM/256GB SSD + 1TB HD/Windows 10/MS Office/Natural Silver/1.47 Kg), 14s-dk0501AU  ",4.4,85,44999,https://m.media-amazon.com/images/I/81w4VMSLLzL._AC_UY218_.jpg,https://www.amazon.in/HP-14-inch-Windows-Natural-14s-dk0501AU/dp/B0991MJLN2/ref=sr_1_16?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-16&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/HP-14-inch-Windows-Natural-14s-dk0501AU/product-reviews/B0991MJLN2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
12,B09D3B7NX9,Acer Aspire 5 Intel Core i3 11th Generation 14-inch (35.56 cms) Thin and Light Laptop - (4 GB/256 GB SSD/Windows 10 Home/Intel UHD Graphics /1.55Kg/Silver) A514-54  ,4.3,139,36990,https://m.media-amazon.com/images/I/71euQ6eHPYL._AC_UY218_.jpg,https://www.amazon.in/Acer-Aspire-Generation-14-inch-Laptop/dp/B09D3B7NX9/ref=sr_1_17?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-17&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Acer-Aspire-Generation-14-inch-Laptop/product-reviews/B09D3B7NX9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ACER
13,B097C2JJ1R,"Dell Inspiron 3501 15.6"" FHD Display Laptop (i5-1135G7 / 8GB / 1TB HDD + 256GB SSD / Integrated Graphics / Win10 + MSO / Backlit KB / Soft Mint Color) D560559WIN9S  ",4.0,39,59290,https://m.media-amazon.com/images/I/61zbf9g+VDS._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560559WIN9S/dp/B097C2JJ1R/ref=sr_1_18?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-18&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560559WIN9S/product-reviews/B097C2JJ1R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DELL
14,B0983WGJZP,"ASUS VivoBook 15 (2020) Intel Core i3-1005G1 10th Gen, 15.6"" (39.62cms) FHD Thin and Light Laptop (8GB/512GB SSD + 32GB Optane Memory/Office 2019/Windows 10/Silver/1.8 Kg), X515JA-EJ362TS  ",4.2,68,39990,https://m.media-amazon.com/images/I/71S8U9VzLTL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-i3-1005G1-39-62cms-X515JA-EJ362TS/dp/B0983WGJZP/ref=sr_1_19?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-19&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/ASUS-VivoBook-i3-1005G1-39-62cms-X515JA-EJ362TS/product-reviews/B0983WGJZP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ASUS
15,B0928NL6F3,"HP 14 11th Gen Intel Core i5 Processor 14-inch(35.6 cm) HD Laptop (8GB/512GB SSD/Windows 10/MS Office/Natural Silver/1.46Kg), 14s-dq2535TU  ",4.2,556,56899,https://m.media-amazon.com/images/I/71bJqS8ZLTL._AC_UY218_.jpg,https://www.amazon.in/HP-Processor-14-inch-Windows-14s-dq2535TU/dp/B0928NL6F3/ref=sr_1_19?dchild=1&keywords=laptop&qid=1632408228&sr=8-19,https://www.amazon.in/HP-Processor-Windows-Natural-14s-dq2535TU/product-reviews/B0928NL6F3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
17,B08XY3843B,"HP 15 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 1TB HDD, M.2 Slot, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, (15s-dy3001TU)  ",3.9,1114,39999,https://m.media-amazon.com/images/I/81Ne5qKmE8L._AC_UY218_.jpg,https://www.amazon.in/HP-Laptop-15-6-inch-Windows-15s-dy3001TU/dp/B08XY3843B/ref=sr_1_21?dchild=1&keywords=laptop&qid=1632408228&sr=8-21,https://www.amazon.in/HP-Laptop-15-6-inch-Windows-15s-dy3001TU/product-reviews/B08XY3843B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
18,B08XNYH4LX,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU  ",4.2,1014,44999,https://m.media-amazon.com/images/I/71uOkXZyteL._AC_UY218_.jpg,https://www.amazon.in/HP-Processor-39-62cms-Integrated-15s-fr2006TU/dp/B08XNYH4LX/ref=sr_1_22?dchild=1&keywords=laptop&qid=1632408228&sr=8-22,https://www.amazon.in/HP-Processor-39-62cms-Integrated-15s-fr2006TU/product-reviews/B08XNYH4LX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
19,B09CMMMV11,"HP Chromebook x360 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (AMD 3015CE/4GB/64GB eMMC Storage/Chrome OS/Forest Teal/1.49 kg), 14a-cb0005AU  ",4.2,6,30990,https://m.media-amazon.com/images/I/81hoonPUdxL._AC_UY218_.jpg,https://www.amazon.in/HP-Chromebook-14-inch-Touchscreen-14a-cb0005AU/dp/B09CMMMV11/ref=sr_1_23?dchild=1&keywords=laptop&qid=1632408228&sr=8-23,https://www.amazon.in/HP-Chromebook-14-inch-Touchscreen-14a-cb0005AU/product-reviews/B09CMMMV11/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
20,B095BYNN8Z,"Acer Extensa 15 Thin & Light Laptop Intel Processor Pentium Silver N5030 15.6 inch (35.56 cms) (4GB RAM/1TB HDD/Windows 10/Integrated Graphic Card/Black/1.9 Kg),EX215-31  ",3.7,266,29990,https://m.media-amazon.com/images/I/816U-xDHnKS._AC_UY218_.jpg,https://www.amazon.in/Acer-Extensa-Processor-Integrated-EX215-31/dp/B095BYNN8Z/ref=sr_1_24?dchild=1&keywords=laptop&qid=1632408228&sr=8-24,https://www.amazon.in/Acer-Processor-Business-Integrated-EX215-31/product-reviews/B095BYNN8Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ACER
